"DATA (CET)";"ORA (CET)";"PRESSIONE (hPa)";"TEMPERATURA (gradi centigradi)";"DIR VENTO (gradi nord)";"VEL VENTO (km/h)";"UMIDITA REL (%)";"PRECIPITAZIONE ACCUMUL (mm)";"INSOLAZIONE (ore)"
12/01/1990;17.00;1030.6;5.5;270.0;6.0;54;;0.6
12/01/1990;18.00;1030.6;4.0;270.0;4.0;65;;
12/01/1990;19.00;1030.6;3.3;270.0;8.0;81;;
12/01/1990;20.00;1030.7;2.2;270.0;5.0;96;;
12/01/1990;21.00;1030.7;0.8;270.0;4.0;100;;
12/01/1990;22.00;1030.8;1.2;292.5;6.0;100;;
12/01/1990;23.00;1031.0;0.3;292.5;5.0;100;;
13/01/1990;00.00;1031.0;0.5;315.0;7.0;100;;
13/01/1990;01.00;1031.0;0.1;315.0;5.0;100;;
13/01/1990;02.00;1030.8;-0.6;337.5;6.0;100;;
13/01/1990;03.00;1030.8;-1.1;337.5;4.0;100;;
13/01/1990;04.00;1030.7;-1.4;337.5;6.0;100;;
13/01/1990;05.00;1030.7;-1.9;337.5;5.0;100;;
13/01/1990;06.00;1030.7;-2.1;337.5;5.0;100;;
13/01/1990;07.00;1030.8;-2.2;337.5;5.0;99;;
13/01/1990;08.00;1030.8;-1.4;337.5;7.0;90;;
13/01/1990;09.00;1030.8;0.7;315.0;6.0;85;;0.7
13/01/1990;10.00;1030.7;2.7;315.0;5.0;65;;1.0
13/01/1990;11.00;1030.6;4.5;337.5;6.0;56;;1.0
13/01/1990;12.00;1030.2;6.0;0.0;6.0;46;;1.0
13/01/1990;13.00;1029.4;7.2;225.0;5.0;52;;1.0
13/01/1990;14.00;1028.7;8.7;315.0;3.0;47;;1.0
13/01/1990;15.00;1028.4;7.1;;0.0;66;;1.0
13/01/1990;16.00;1028.3;8.0;;0.0;55;;1.0
13/01/1990;17.00;1028.3;4.3;;0.0;68;;0.2
13/01/1990;18.00;1028.2;2.2;270.0;4.0;72;;
13/01/1990;19.00;1028.2;2.4;292.5;6.0;90;;
13/01/1990;20.00;1028.3;2.2;292.5;6.0;99;;
13/01/1990;21.00;1028.3;1.7;315.0;7.0;100;;
13/01/1990;22.00;1028.2;1.2;337.5;8.0;90;;
13/01/1990;23.00;1028.2;0.7;337.5;9.0;81;;
14/01/1990;00.00;1028.0;0.1;0.0;8.0;95;;
14/01/1990;01.00;1027.9;-0.4;0.0;9.0;99;;
14/01/1990;02.00;1027.9;-0.5;0.0;8.0;100;;
14/01/1990;03.00;1027.8;-0.8;0.0;9.0;100;;
14/01/1990;04.00;1027.6;-1.0;0.0;9.0;94;;
14/01/1990;05.00;1027.2;-0.9;0.0;9.0;81;;
14/01/1990;06.00;1027.0;-1.0;0.0;9.0;85;;
14/01/1990;07.00;1026.8;-1.7;337.5;7.0;86;;
14/01/1990;08.00;1026.7;-0.1;315.0;8.0;94;;
14/01/1990;09.00;1026.8;-0.3;315.0;6.0;89;;0.2
14/01/1990;10.00;1026.8;2.8;292.5;3.0;76;;1.0
14/01/1990;11.00;1026.8;5.0;292.5;3.0;54;;1.0
14/01/1990;12.00;1026.6;5.4;292.5;5.0;62;;0.6
